CBSA	WI24	CBSA Name
40580	0.8688	"Rocky Mount, NC"
40660	0.8688	"Rome, GA"
40900	1.6986	"Sacramento-Roseville-Folsom, CA"
40980	0.8968	"Saginaw, MI"
41060	0.9534	"St. Cloud, MN"
41100	0.9212	"St. George, UT"
41140	0.8621	"St. Joseph, MO-KS"
41180	0.9452	"St. Louis, MO-IL"
41420	1.1546	"Salem, OR"
41500	1.7253	"Salinas, CA"
41540	0.9218	"Salisbury, MD-DE"
41620	0.9212	"Salt Lake City, UT"
41660	0.7416	"San Angelo, TX"
41700	0.8649	"San Antonio-New Braunfels, TX"
41740	1.2977	"San Diego-Chula Vista-Carlsbad, CA"
41884	1.9026	"San Francisco-San Mateo-Redwood City, CA"
41900	0.3957	"San Germán, PR"
41940	1.9224	"San Jose-Sunnyvale-Santa Clara, CA"
41980	0.3719	"San Juan-Bayamón-Caguas, PR"
42020	1.3257	"San Luis Obispo-Paso Robles, CA"
42034	1.8456	"San Rafael, CA"
42100	1.7797	"Santa Cruz-Watsonville, CA"
42140	1.0415	"Santa Fe, NM"
42200	1.4556	"Santa Maria-Santa Barbara, CA"
42220	1.7664	"Santa Rosa-Petaluma, CA"
42340	0.8218	"Savannah, GA"
42540	0.8301	"Scranton--Wilkes-Barre, PA"
42644	1.1802	"Seattle-Bellevue-Kent, WA"
42680	0.7886	"Sebastian-Vero Beach, FL"
42700	0.8353	"Sebring-Avon Park, FL"
43100	0.9635	"Sheboygan, WI"
43300	0.8297	"Sherman-Denison, TX"
43340	0.8029	"Shreveport-Bossier City, LA"
43420	0.8202	"Sierra Vista-Douglas, AZ"
43580	0.8736	"Sioux City, IA-NE-SD"
43620	0.8061	"Sioux Falls, SD"
43780	0.9395	"South Bend-Mishawaka, IN-MI"
43900	0.8926	"Spartanburg, SC"
44060	1.0893	"Spokane-Spokane Valley, WA"
44100	0.9157	"Springfield, IL"
44140	0.951	"Springfield, MA"
44180	0.7597	"Springfield, MO"
44220	0.8194	"Springfield, OH"
44300	1.0333	"State College, PA"
44420	0.8909	"Staunton, VA"
44700	1.6114	"Stockton, CA"
44940	0.7583	"Sumter, SC"
45060	1.0008	"Syracuse, NY"
45104	1.1828	"Tacoma-Lakewood, WA"
45220	0.7948	"Tallahassee, FL"
45300	0.8791	"Tampa-St. Petersburg-Clearwater, FL"
45460	0.8577	"Terre Haute, IN"
45500	0.8976	"Texarkana, TX-AR"
45540	0.7549	"The Villages, FL"
45780	0.8494	"Toledo, OH"
45820	0.8228	"Topeka, KS"
45940	1.0212	"Trenton-Princeton, NJ"
46060	0.8551	"Tucson, AZ"
46140	0.823	"Tulsa, OK"
46220	0.7978	"Tuscaloosa, AL"
46300	0.8696	"Twin Falls, ID"
46340	0.8484	"Tyler, TX"
46520	1.3098	"Urban Honolulu, HI"
46540	0.8789	"Utica-Rome, NY"
46660	0.6819	"Valdosta, GA"
46700	1.9686	"Vallejo, CA"
47020	0.8139	"Victoria, TX"
47220	0.9952	"Vineland-Bridgeton, NJ"
47260	0.8712	"Virginia Beach-Norfolk-Newport News, VA-NC"
47300	0.925	"Visalia, CA"
47380	0.9172	"Waco, TX"
47460	1.0359	"Walla Walla, WA"
47580	0.7632	"Warner Robins, GA"
47664	0.9008	"Warren-Troy-Farmington Hills, MI"
47894	1.0242	"Washington-Arlington-Alexandria, DC-VA-MD-WV"
47940	0.7888	"Waterloo-Cedar Falls, IA"
48060	0.9	"Watertown-Fort Drum, NY"
48140	0.8599	"Wausau-Weston, WI"
